book_id,title,author,genre,rating,description,image_url
48,The Woman in the Window,A.J. Finn,Thriller,4.4,Agoraphobic voyeur witnesses crime,https://covers.openlibrary.org/b/id/11599590-L.jpg
49,Verity,Colleen Hoover,Thriller,4.7,Author's manuscript reveals dark truths,https://covers.openlibrary.org/b/id/10045825-L.jpg
50,The Silent Patient,Alex Michaelides,Thriller,4.5,Psychological thriller story,https://covers.openlibrary.org/b/id/9259256-L.jpg
51,Becoming,Michelle Obama,Biography,4.8,Inspiring journey to first lady,https://covers.openlibrary.org/b/id/10380711-L.jpg
52,The Diary of a Young Girl,Anne Frank,Biography,4.9,Holocaust diary of hope and fear,https://covers.openlibrary.org/b/id/877233-L.jpg
53,Educated,Tara Westover,Biography,4.7,Memoir of self-education from isolation,https://covers.openlibrary.org/b/id/10784727-L.jpg
54,Born a Crime,Trevor Noah,Biography,4.6,Comedy in apartheid South Africa,https://covers.openlibrary.org/b/id/10091587-L.jpg
55,Steve Jobs,Walter Isaacson,Biography,4.5,Innovator biography with insights,https://covers.openlibrary.org/b/id/7431420-L.jpg
56,Open,Andre Agassi,Biography,4.7,Tennis star's raw honest memoir,https://covers.openlibrary.org/b/id/6538038-L.jpg
57,Long Walk to Freedom,Nelson Mandela,Biography,4.8,Anti-apartheid leader life story,https://covers.openlibrary.org/b/id/178140-L.jpg
58,The Autobiography of Malcolm X,Malcolm X,Biography,4.7,Transformation and civil rights journey,https://covers.openlibrary.org/b/id/292473-M.jpg
59,I Am Malala,Malala Yousafzai,Biography,4.8,Education activist survival story,https://covers.openlibrary.org/b/id/9123455-L.jpg
60,Elon Musk,Ashlee Vance,Biography,4.6,Entrepreneur building future empires,https://covers.openlibrary.org/b/id/9670308-L.jpg
61,To Kill a Mockingbird,Harper Lee,Classic,4.9,Moral growth in racial injustice South,https://covers.openlibrary.org/b/id/3920675-L.jpg
62,The Great Gatsby,F. Scott Fitzgerald,Classic,4.7,Jazz Age American Dream illusion,https://covers.openlibrary.org/b/id/1857678-L.jpg
63,Pride and Prejudice,Jane Austen,Classic,4.8,Elizabeth Bennet vs pride prejudice,https://covers.openlibrary.org/b/id/6896731-L.jpg
64,Jane Eyre,Charlotte Bronte,Classic,4.7,Orphan finds love independence strength,https://covers.openlibrary.org/b/id/433339-M.jpg
65,1984,George Orwell,Classic,4.9,Totalitarian surveillance nightmare,https://covers.openlibrary.org/b/id/6556185-L.jpg
66,Animal Farm,George Orwell,Classic,4.6,Political allegory farm revolution,https://covers.openlibrary.org/b/id/5782748-L.jpg
67,The Catcher in the Rye,J.D. Salinger,Classic,4.4,Teen angst phoniness rebellion,https://covers.openlibrary.org/b/id/1120915-L.jpg
68,Lord of the Flies,William Golding,Classic,4.5,Boys island descent into savagery,https://covers.openlibrary.org/b/id/2977771-L.jpg
69,Of Mice and Men,John Steinbeck,Classic,4.6,Friendship dreams Great Depression,https://covers.openlibrary.org/b/id/1471794-L.jpg
70,The Old Man and the Sea,Ernest Hemingway,Classic,4.7,Old fisherman's epic struggle sea,https://covers.openlibrary.org/b/id/156623-L.jpg
71,The Shining,Stephen King,Horror,4.8,Haunted hotel psychological horror,https://covers.openlibrary.org/b/id/8231996-L.jpg
72,Dracula,Bram Stoker,Horror,4.7,Vampire gothic horror classic,https://covers.openlibrary.org/b/id/7222246-L.jpg
73,Frankenstein,Mary Shelley,Horror,4.6,Scientist creates terrifying monster,https://covers.openlibrary.org/b/id/8226191-L.jpg
74,IT,Stephen King,Horror,4.8,Shape shifting evil terrorizes town,https://covers.openlibrary.org/b/id/8319256-L.jpg
75,Pet Sematary,Stephen King,Horror,4.5,Dark resurrection horror story,https://covers.openlibrary.org/b/id/8231856-L.jpg
76,The Exorcist,William Peter Blatty,Horror,4.6,Demonic possession horror classic,https://covers.openlibrary.org/b/id/9259256-L.jpg
77,Coraline,Neil Gaiman,Horror,4.5,Creepy alternate world adventure,https://covers.openlibrary.org/b/id/6979861-L.jpg
78,Bird Box,Josh Malerman,Horror,4.4,Blind survival against unseen creatures,https://covers.openlibrary.org/b/id/7984916-L.jpg
79,Mexican Gothic,Silvia Moreno-Garcia,Horror,4.3,Gothic mystery in haunted mansion,https://covers.openlibrary.org/b/id/8277896-L.jpg
80,House of Leaves,Mark Z. Danielewski,Horror,4.6,Experimental horror labyrinth story,https://covers.openlibrary.org/b/id/240726-L.jpg
81,The Name of the Wind,Patrick Rothfuss,Fantasy,4.9,Legendary wizard tells his story,https://covers.openlibrary.org/b/id/823996-L.jpg
82,Mistborn,Brandon Sanderson,Fantasy,4.8,Magic rebellion against dark empire,https://covers.openlibrary.org/b/id/861609-M.jpg
83,The Way of Kings,Brandon Sanderson,Fantasy,4.9,Epic war and magical destiny,https://covers.openlibrary.org/b/id/9443410-L.jpg
84,A Game of Thrones,George R.R. Martin,Fantasy,4.8,Political fantasy battle for throne,https://covers.openlibrary.org/b/id/1030540-L.jpg
85,The Lies of Locke Lamora,Scott Lynch,Fantasy,4.7,Master thieves in fantasy city,https://covers.openlibrary.org/b/id/13196779-L.jpg
86,Wheel of Time,Robert Jordan,Fantasy,4.7,Chosen hero against dark force,https://covers.openlibrary.org/b/id/6556185-L.jpg
87,Eragon,Christopher Paolini,Fantasy,4.5,Dragon rider fantasy adventure,https://covers.openlibrary.org/b/id/6462002-L.jpg
88,Percy Jackson,Rick Riordan,Fantasy,4.8,Greek mythology modern adventure,https://covers.openlibrary.org/b/id/6800586-L.jpg
89,The Chronicles of Narnia,C.S. Lewis,Fantasy,4.7,Children discover magical kingdom,https://covers.openlibrary.org/b/id/12436248-L.jpg
90,The Priory of the Orange Tree,Samantha Shannon,Fantasy,4.6,Dragon fantasy with strong queens,https://covers.openlibrary.org/b/id/6896731-L.jpg
91,The Intelligent Investor,Benjamin Graham,Finance,4.9,Value investing principles and strategies,https://covers.openlibrary.org/b/id/433339-M.jpg
92,One Up On Wall Street,Peter Lynch,Finance,4.8,Successful stock market investing guide,https://covers.openlibrary.org/b/id/6485029-L.jpg
93,Money Master the Game,Tony Robbins,Finance,4.6,Financial freedom and investing advice,https://covers.openlibrary.org/b/id/6521659-L.jpg
94,The Richest Man in Babylon,George Clason,Finance,4.7,Ancient wealth building lessons,https://covers.openlibrary.org/b/id/8664213-L.jpg
95,Common Stocks and Uncommon Profits,Philip Fisher,Finance,4.6,Long term investing wisdom,https://covers.openlibrary.org/b/id/42836788-L.jpg
96,Good to Great,Jim Collins,Business,4.8,Why some companies become successful,https://covers.openlibrary.org/b/id/10045825-L.jpg
97,The Lean Startup,Eric Ries,Business,4.7,Startup innovation and rapid experimentation,https://covers.openlibrary.org/b/id/7996188-L.jpg
98,Blue Ocean Strategy,W. Chan Kim,Business,4.6,Creating uncontested market space,https://covers.openlibrary.org/b/id/6944900-L.jpg
99,Rework,Jason Fried,Business,4.5,Modern business and productivity ideas,https://covers.openlibrary.org/b/id/8644111-L.jpg
100,The Hard Thing About Hard Things,Ben Horowitz,Business,4.7,Leadership during startup struggles,https://covers.openlibrary.org/b/id/9894504-L.jpg
101,Clean Code,Robert C. Martin,Technology,4.9,Writing readable and maintainable code,https://covers.openlibrary.org/b/id/1055638-L.jpg
102,The Pragmatic Programmer,Andrew Hunt,Technology,4.8,Practical software engineering techniques,https://covers.openlibrary.org/b/id/1722161-L.jpg
103,Introduction to Algorithms,Thomas H. Cormen,Technology,4.7,Comprehensive algorithms reference book,https://covers.openlibrary.org/b/id/8644111-L.jpg
104,Artificial Intelligence A Modern Approach,Stuart Russell,Technology,4.8,Core concepts of artificial intelligence,https://covers.openlibrary.org/b/id/9410131-L.jpg
105,Hands-On Machine Learning,Aurelien Geron,Technology,4.9,Machine learning with Python guide,https://covers.openlibrary.org/b/id/11599590-L.jpg
106,Python Crash Course,Eric Matthes,Technology,4.7,Beginner friendly Python programming,https://covers.openlibrary.org/b/id/10045825-L.jpg
107,Deep Learning,Ian Goodfellow,Technology,4.8,Foundations of deep learning,https://covers.openlibrary.org/b/id/10380711-L.jpg
108,The Phoenix Project,Gene Kim,Technology,4.6,IT management and DevOps novel,https://covers.openlibrary.org/b/id/877233-L.jpg
109,Grokking Algorithms,Aditya Bhargava,Technology,4.8,Visual explanation of algorithms,https://covers.openlibrary.org/b/id/10784727-L.jpg
110,Designing Data Intensive Applications,Martin Kleppmann,Technology,4.9,Modern scalable system architecture,https://covers.openlibrary.org/b/id/10091587-L.jpg
111,Meditations,Marcus Aurelius,Philosophy,4.9,Stoic philosophy and self reflection,https://covers.openlibrary.org/b/id/7431420-L.jpg
112,The Republic,Plato,Philosophy,4.7,Justice and ideal society discussion,https://covers.openlibrary.org/b/id/6538038-L.jpg
113,Beyond Good and Evil,Friedrich Nietzsche,Philosophy,4.6,Morality and human nature analysis,https://covers.openlibrary.org/b/id/178140-L.jpg
114,Man's Search for Meaning,Viktor Frankl,Philosophy,4.9,Finding purpose through suffering,https://covers.openlibrary.org/b/id/292473-M.jpg
115,Thus Spoke Zarathustra,Friedrich Nietzsche,Philosophy,4.5,Philosophical poetic exploration,https://covers.openlibrary.org/b/id/9123455-L.jpg
116,Crime and Punishment,Fyodor Dostoevsky,Classic,4.9,Guilt morality and redemption story,https://covers.openlibrary.org/b/id/9670308-L.jpg
117,War and Peace,Leo Tolstoy,Classic,4.8,Russian society during Napoleonic wars,https://covers.openlibrary.org/b/id/3920675-L.jpg
118,The Brothers Karamazov,Fyodor Dostoevsky,Classic,4.9,Faith doubt and family conflict,https://covers.openlibrary.org/b/id/1857678-L.jpg
119,Don Quixote,Miguel de Cervantes,Classic,4.7,Adventures of delusional knight,https://covers.openlibrary.org/b/id/6896731-L.jpg
120,Les Miserables,Victor Hugo,Classic,4.8,Justice mercy and revolution epic,https://covers.openlibrary.org/b/id/433339-M.jpg
121,Anna Karenina,Leo Tolstoy,Classic,4.7,Love betrayal and Russian society,https://covers.openlibrary.org/b/id/5782748-L.jpg
122,The Picture of Dorian Gray,Oscar Wilde,Classic,4.6,Vanity corruption and immortality,https://covers.openlibrary.org/b/id/1120915-L.jpg
123,Wuthering Heights,Emily Bronte,Classic,4.5,Dark obsessive romantic tragedy,https://covers.openlibrary.org/b/id/2977771-L.jpg
124,Rebecca,Daphne du Maurier,Mystery,4.7,Gothic suspense with hidden secrets,https://covers.openlibrary.org/b/id/1471794-L.jpg
125,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery,4.8,Sherlock Holmes investigates supernatural mystery,https://covers.openlibrary.org/b/id/156623-L.
126,The Road,Cormac McCarthy,Post-Apocalyptic,4.7,Father and son survive ruined world,https://covers.openlibrary.org/b/id/240726-L.jpg
127,Fahrenheit 451,Ray Bradbury,Dystopian,4.8,Books banned in futuristic society,https://covers.openlibrary.org/b/id/7984916-L.jpg
128,The Handmaid's Tale,Margaret Atwood,Dystopian,4.7,Oppressive regime controlling women,https://covers.openlibrary.org/b/id/8277896-L.jpg
129,Station Eleven,Emily St. John Mandel,Dystopian,4.6,Art and survival after pandemic,https://covers.openlibrary.org/b/id/8231856-L.jpg
130,The Road to Wigan Pier,George Orwell,History,4.5,Working class life exploration,https://covers.openlibrary.org/b/id/9259256-L.jpg
131,Thinking Fast and Slow,Daniel Kahneman,Psychology,4.9,Human decision making explained,https://covers.openlibrary.org/b/id/9251996-L.jpg
132,Influence,Robert Cialdini,Psychology,4.8,Science of persuasion and influence,https://covers.openlibrary.org/b/id/861609-M.jpg
133,Drive,Daniel Pink,Psychology,4.6,Motivation and human behavior study,https://covers.openlibrary.org/b/id/823996-L.jpg
134,Emotional Intelligence,Daniel Goleman,Psychology,4.7,Understanding emotions and success,https://covers.openlibrary.org/b/id/9443410-L.jpg
135,Quiet,Susan Cain,Psychology,4.6,Power of introverts in society,https://covers.openlibrary.org/b/id/1030540-L.jpg
136,The Art of War,Sun Tzu,Philosophy,4.8,Ancient strategy and warfare wisdom,https://covers.openlibrary.org/b/id/13196779-L.jpg
137,Atomic Attraction,Christopher Canwell,Romance,4.3,Modern relationships and attraction,https://covers.openlibrary.org/b/id/6556185-L.jpg
138,Digital Fortress,Dan Brown,Thriller,4.4,Cryptography conspiracy thriller adventure,https://covers.openlibrary.org/b/id/6462002-L.jpg
139,Angels and Demons,Dan Brown,Thriller,4.7,Secret societies and Vatican mystery,https://covers.openlibrary.org/b/id/6800586-L.jpg
140,Inferno,Dan Brown,Thriller,4.5,Global pandemic mystery chase,https://covers.openlibrary.org/b/id/12436248-L.jpg
141,The Lost Symbol,Dan Brown,Thriller,4.4,Masonic secrets and hidden codes,https://covers.openlibrary.org/b/id/6896731-L.jpg
142,Origin,Dan Brown,Thriller,4.6,Science versus religion mystery,https://covers.openlibrary.org/b/id/433339-M.jpg
143,The Girl with the Dragon Tattoo,Stieg Larsson,Mystery,4.8,Investigative hacker solves dark crimes,https://covers.openlibrary.org/b/id/6485029-L.jpg
144,Before I Go to Sleep,S.J. Watson,Thriller,4.5,Memory loss psychological suspense,https://covers.openlibrary.org/b/id/6521659-L.jpg
145,Shutter Island,Dennis Lehane,Thriller,4.7,Mental asylum investigation twist,https://covers.openlibrary.org/b/id/8664213-L.jpg
146,Dark Matter,Blake Crouch,Sci-Fi,4.9,Parallel universe science fiction thriller,https://covers.openlibrary.org/b/id/42836788-L.jpg
147,Recursion,Blake Crouch,Sci-Fi,4.8,Memory manipulation and time reality,https://covers.openlibrary.org/b/id/10045825-L.jpg
148,Snow Crash,Neal Stephenson,Sci-Fi,4.7,Virtual reality cyberpunk adventure,https://covers.openlibrary.org/b/id/7996188-L.jpg
149,Altered Carbon,Richard Morgan,Sci-Fi,4.6,Human consciousness transfer future noir,https://covers.openlibrary.org/b/id/6944900-L.jpg
150,Do Androids Dream of Electric Sheep,Philip K. Dick,Sci-Fi,4.8,Android identity philosophical thriller,https://covers.openlibrary.org/b/id/8644111-L.jpg
151,The Midnight Library,Matt Haig,Fiction,4.8,Parallel lives and regret exploration,https://covers.openlibrary.org/b/id/9894504-L.jpg
152,A Man Called Ove,Fredrik Backman,Fiction,4.9,Grumpy old man finds friendship,https://covers.openlibrary.org/b/id/1055638-L.jpg
153,The Kite Runner,Khaled Hosseini,Fiction,4.9,Friendship guilt and redemption story,https://covers.openlibrary.org/b/id/1722161-L.jpg
154,A Thousand Splendid Suns,Khaled Hosseini,Fiction,4.8,Women surviving hardship in Afghanistan,https://covers.openlibrary.org/b/id/8644111-L.jpg
155,The Book Thief,Markus Zusak,Fiction,4.9,Nazi Germany narrated by death,https://covers.openlibrary.org/b/id/9410131-L.jpg
156,Life of Pi,Yann Martel,Fiction,4.7,Survival story with Bengal tiger,https://covers.openlibrary.org/b/id/11599590-L.jpg
157,The Fault in Our Stars,John Green,Romance,4.7,Teenagers facing illness and love,https://covers.openlibrary.org/b/id/10045825-L.jpg
158,Looking for Alaska,John Green,Romance,4.5,Teen friendship and emotional discovery,https://covers.openlibrary.org/b/id/10380711-L.jpg
159,Paper Towns,John Green,Romance,4.4,Mystery journey to find missing girl,https://covers.openlibrary.org/b/id/877233-L.jpg
160,Normal People,Sally Rooney,Romance,4.6,Complicated modern young relationship,https://covers.openlibrary.org/b/id/10784727-L.jpg
161,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,Romance,4.9,Hollywood icon reveals hidden truth,https://covers.openlibrary.org/b/id/10091587-L.jpg
162,Daisy Jones and The Six,Taylor Jenkins Reid,Fiction,4.7,Fictional rock band's dramatic rise,https://covers.openlibrary.org/b/id/7431420-L.jpg
163,Malibu Rising,Taylor Jenkins Reid,Fiction,4.5,Family secrets during glamorous party,https://covers.openlibrary.org/b/id/6538038-L.jpg
164,Veronika Decides to Die,Paulo Coelho,Fiction,4.6,Meaning of life and freedom,https://covers.openlibrary.org/b/id/178140-L.jpg
165,The Forty Rules of Love,Elif Shafak,Romance,4.8,Spiritual love and Rumi philosophy,https://covers.openlibrary.org/b/id/292473-M.jpg
166,The Secret,Rhonda Byrne,Self-help,4.3,Law of attraction explained simply,https://covers.openlibrary.org/b/id/9123455-L.jpg
167,Who Moved My Cheese,Spencer Johnson,Self-help,4.5,Adapting to change in life,https://covers.openlibrary.org/b/id/9670308-L.jpg
168,Eat That Frog,Brian Tracy,Self-help,4.6,Productivity and time management,https://covers.openlibrary.org/b/id/3920675-L.jpg
169,Unlimited Power,Tony Robbins,Self-help,4.5,Personal development and motivation,https://covers.openlibrary.org/b/id/1857678-L.jpg
170,Awaken the Giant Within,Tony Robbins,Self-help,4.7,Control emotions and life success,https://covers.openlibrary.org/b/id/6896731-L.jpg
171,The Mountain Is You,Brianna Wiest,Self-help,4.7,Self sabotage and healing guide,https://covers.openlibrary.org/b/id/433339-M.jpg
172,12 Rules for Life,Jordan Peterson,Self-help,4.6,Discipline and responsibility lessons,https://covers.openlibrary.org/b/id/5782748-L.jpg
173,The Courage to Be Disliked,Fumitake Koga,Self-help,4.7,Japanese philosophy for happiness,https://covers.openlibrary.org/b/id/1120915-L.jpg
174,Essentialism,Greg McKeown,Self-help,4.6,Focus on what truly matters,https://covers.openlibrary.org/b/id/2977771-L.jpg
175,Mindset,Carol Dweck,Psychology,4.8,Growth mindset and learning success,https://covers.openlibrary.org/b/id/1471794-L.jpg
176,Hooked,Nir Eyal,Business,4.5,Building habit forming products,https://covers.openlibrary.org/b/id/156623-L.jpg
177,Crushing It,Gary Vaynerchuk,Business,4.4,Personal branding and social media,https://covers.openlibrary.org/b/id/240726-L.jpg
178,The 4-Hour Workweek,Tim Ferriss,Business,4.6,Escape traditional office lifestyle,https://covers.openlibrary.org/b/id/7984916-L.jpg
179,Shoe Dog,Phil Knight,Biography,4.9,Nike founder entrepreneurial journey,https://covers.openlibrary.org/b/id/8277896-L.jpg
180,Greenlights,Matthew McConaughey,Biography,4.7,Life lessons and memoir stories,https://covers.openlibrary.org/b/id/8231856-L.jpg
181,Can't Stop Won't Stop,Jeff Chang,History,4.5,History of hip hop culture,https://covers.openlibrary.org/b/id/9259256-L.jpg
182,Guns Germs and Steel,Jared Diamond,History,4.8,Civilization development across continents,https://covers.openlibrary.org/b/id/9251996-L.jpg
183,The Silk Roads,Peter Frankopan,History,4.7,Global history through trade routes,https://covers.openlibrary.org/b/id/861609-M.jpg
184,SPQR,Mary Beard,History,4.6,Ancient Rome detailed history,https://covers.openlibrary.org/b/id/823996-L.jpg
185,Cosmos,Carl Sagan,Science,4.9,Universe exploration and astronomy,https://covers.openlibrary.org/b/id/9443410-L.jpg
186,A Brief History of Time,Stephen Hawking,Science,4.8,Black holes and universe explained,https://covers.openlibrary.org/b/id/1030540-L.jpg
187,The Selfish Gene,Richard Dawkins,Science,4.7,Evolution and gene centered theory,https://covers.openlibrary.org/b/id/13196779-L.jpg
188,Astrophysics for People in a Hurry,Neil deGrasse Tyson,Science,4.6,Simple astrophysics for everyone,https://covers.openlibrary.org/b/id/6556185-L.jpg
189,Brief Answers to the Big Questions,Stephen Hawking,Science,4.7,Thoughts on universe and humanity,https://covers.openlibrary.org/b/id/6462002-L.jpg
190,The Immortal Life of Henrietta Lacks,Rebecca Skloot,Science,4.8,Medical ethics and immortal cells,https://covers.openlibrary.org/b/id/6800586-L.jpg
191,Homo Deus,Yuval Noah Harari,History,4.8,Future of humanity and technology,https://covers.openlibrary.org/b/id/12436248-L.jpg
192,21 Lessons for the 21st Century,Yuval Noah Harari,History,4.7,Modern global challenges analysis,https://covers.openlibrary.org/b/id/6896731-L.jpg
193,Thinking in Bets,Annie Duke,Psychology,4.6,Decision making under uncertainty,https://covers.openlibrary.org/b/id/433339-M.jpg
194,Attached,Amir Levine,Psychology,4.5,Attachment theory and relationships,https://covers.openlibrary.org/b/id/6485029-L.jpg
195,The Power of Now,Eckhart Tolle,Philosophy,4.8,Living in the present moment,https://covers.openlibrary.org/b/id/6521659-L.jpg
196,Siddhartha,Hermann Hesse,Philosophy,4.7,Spiritual journey toward enlightenment,https://covers.openlibrary.org/b/id/8664213-L.jpg
197,No Longer Human,Osamu Dazai,Fiction,4.6,Alienation and depression narrative,https://covers.openlibrary.org/b/id/42836788-L.jpg
198,Norwegian Wood,Haruki Murakami,Fiction,4.8,Love loss and emotional memory,https://covers.openlibrary.org/b/id/10045825-L.jpg
199,Kafka on the Shore,Haruki Murakami,Fiction,4.7,Surreal magical realism journey,https://covers.openlibrary.org/b/id/7996188-L.jpg
200,1Q84,Haruki Murakami,Fiction,4.6,Parallel worlds and mysterious cults,https://covers.openlibrary.org/b/id/6944900-L.jpg
201,The Outsider,Stephen King,Horror,4.6,Murder investigation with supernatural twist,https://covers.openlibrary.org/b/id/8644111-L.jpg
202,Salem's Lot,Stephen King,Horror,4.7,Vampires invade small town,https://covers.openlibrary.org/b/id/9894504-L.jpg
203,Cujo,Stephen King,Horror,4.4,Rabid dog terror survival story,https://covers.openlibrary.org/b/id/1055638-L.jpg
204,Doctor Sleep,Stephen King,Horror,4.6,Sequel to The Shining psychic horror,https://covers.openlibrary.org/b/id/1722161-L.jpg
205,American Psycho,Bret Easton Ellis,Horror,4.5,Dark satire serial killer story,https://covers.openlibrary.org/b/id/8644111-L.jpg
206,World War Z,Max Brooks,Horror,4.7,Global zombie apocalypse oral history,https://covers.openlibrary.org/b/id/9410131-L.jpg
207,I Am Legend,Richard Matheson,Horror,4.8,Lone survivor against vampires,https://covers.openlibrary.org/b/id/11599590-L.jpg
208,The Haunting of Hill House,Shirley Jackson,Horror,4.7,Classic haunted mansion terror,https://covers.openlibrary.org/b/id/10045825-L.jpg
